userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	18	McCole_3d_data	0.0404693536006207	0.955560185767194	9813	24	24	5	24	17.7	8325	2361	1914	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
1	6	McCole_3d_data	0.0364887754422465	0.938586257655583	10084	10	10	3	10	7.67	10241	1069	1019	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	20	McCole_3d_data	0.0107220527789593	0.940357964991081	8461	11	9	6	11	8.67	8667	2692	2593	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	25	McCole_3d_data	0.00102730432024598	0.912063341065102	2264	12	11	23	23	15.3	2458	8889	8802	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
1	16	McCole_3d_data	9.53765553396869e-05	0.908760164156904	6612	13	12	10	13	11.7	6933	4541	4327	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	23	McCole_3d_data	6.72006353070376e-05	0.871771078984803	1496	14	13	28	28	18.3	1699	9657	9561	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	22	McCole_3d_data	2.06419191154498e-08	0.854728133370225	7755	15	15	8	15	12.7	8192	3398	3068	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
2	24	McCole_3d_data	2.27480741920678e-09	0.854320879353354	7263	25	25	15	25	21.7	6490	4911	3749	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
2	7	McCole_3d_data	1.28741979303087e-09	0.7663705314405	10876	26	26	3	26	18.3	9381	1298	858	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	1	1301
1	17	McCole_3d_data	3.42880227885653e-10	0.80815682224508	1758	16	19	27	27	20.7	2117	9395	9143	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	14	McCole_3d_data	2.88981940653102e-10	0.847257610823882	6580	17	16	12	17	15	7087	4573	4173	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	15	McCole_3d_data	2.37933337466543e-11	0.808371123109521	2109	18	18	25	25	20.3	2521	9044	8739	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	12	McCole_3d_data	7.65864052306041e-12	0.837924035960023	5569	19	17	16	19	17.3	6119	5584	5141	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	10	McCole_3d_data	0	0.706921701481046	8889	20	28	5	28	17.7	9542	2264	1718	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	3	ATAC_peaks	0	0.749789745140019	6607	20	23	11	23	18	7428	4546	3832	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	5	ATAC_peaks	0	0.711264614149308	8181	20	27	7	27	18	8948	2972	2312	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	1	ATAC_peaks	0	0.713403076531025	6437	20	26	13	26	19.7	7395	4716	3865	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	9	McCole_3d_data	0	0.757663384927411	5555	20	22	17	22	19.7	6385	5598	4875	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	11	McCole_3d_data	0	0.763085860255337	2959	20	21	20	21	20.3	3617	8194	7643	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	21	McCole_3d_data	0	0.766762902726021	2568	20	20	22	22	20.7	3160	8585	8100	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	2	ATAC_peaks	0	0.601432123111796	6388	20	30	14	30	21.3	7773	4765	3487	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
1	4	ATAC_peaks	0	0.641316237270758	6082	20	29	15	29	21.3	7337	5071	3923	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	19	McCole_3d_data	0	0.720944998734549	2801	20	25	21	25	22	3575	8352	7685	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	13	McCole_3d_data	0	0.738159861573293	2163	20	24	24	24	22.7	2768	8990	8492	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
1	26	subcompartment	0	0.38102094298047	4034	20	31	18	31	23	6733	7119	4527	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	1	490
2	27	subcompartment	0	0.752458123963398	3184	27	27	22	27	25.3	3277	8990	6962	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	1	1249
2	28	subcompartment	0	0.500010902893099	1139	27	29	28	29	28	1752	11035	8487	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	1	896
2	30	subcompartment	0	0.636619080936398	1000	27	28	29	29	28	1262	11174	8977	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1	685
2	29	subcompartment	0	0.445344034710198	437	27	30	30	30	29	790	11737	9449	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1	504
2	31	subcompartment	0	0.348147859914489	115	27	31	31	31	29.7	273	12059	9966	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	1	25
