userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	2	ATAC_peaks	145.183804026952	4.02239861456965	9172	1	1	8	8	3.33	687	3116	939	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	2.03028808950773e-144	48574
2	3	ATAC_peaks	134.895447545698	3.81489755649106	9083	2	4	10	10	5.33	693	3205	933	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	2.62919555320721e-134	68236
2	5	ATAC_peaks	117.085109695587	3.92937371220639	10519	3	3	4	4	3.33	979	1769	647	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1.27415423653054e-116	127090
2	9	McCole_3d_data	104.368532740018	3.25305663706237	7422	4	9	16	16	9.67	519	4866	1107	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	5.30748707396575e-104	18331
2	1	ATAC_peaks	102.995906557092	3.19312486791838	8727	5	10	11	11	8.67	706	3561	920	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1.04311906255873e-102	85631
2	4	ATAC_peaks	99.1238510555154	3.12026465477224	8681	6	11	12	12	9.67	708	3607	918	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	6.65951488499442e-99	47203
2	19	McCole_3d_data	88.3639333296959	3.93489420216215	4273	7	2	19	19	9.33	194	8015	1432	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	3.35249680637718e-88	11459
2	10	McCole_3d_data	68.2025809909107	2.93166963822121	10502	8	15	5	15	9.33	1085	1786	541	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	4.32084004370627e-68	4533
2	25	McCole_3d_data	63.5427748421823	3.79517748165494	3124	9	5	24	24	12.7	134	9164	1492	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1.77671122972161e-63	7435
2	15	McCole_3d_data	59.6490892232806	3.64911988047515	3052	10	7	25	25	14	135	9236	1491	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1.26447364249266e-59	6161
2	27	subcompartment	57.2932859099281	2.93419393285847	3936	11	14	21	21	15.3	225	8352	1401	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	2.62981097523231e-57	1249
2	11	McCole_3d_data	55.7144549180936	2.75740307005945	4255	12	16	20	20	16	262	8033	1364	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	9.20435624206163e-56	12903
2	13	McCole_3d_data	51.2334921850095	3.07278778097565	3229	13	12	23	23	16	169	9059	1457	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	2.58685132341305e-51	8202
2	12	McCole_3d_data	49.6940909233076	2.22522506530579	6828	14	18	17	18	16.3	585	5460	1041	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	8.36006217062378e-50	3567
2	21	McCole_3d_data	44.6162053780679	2.61603038475798	3609	15	17	22	22	18	223	8679	1403	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	9.37705209500518e-45	8436
2	26	subcompartment	43.587159823501	2.13837990889326	6178	16	19	18	19	17.7	522	6110	1104	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	9.43589163419193e-44	490
2	17	McCole_3d_data	39.5408539198173	3.02549395038121	2490	17	13	26	26	18.7	126	9798	1500	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	9.91437324221789e-40	5020
2	23	McCole_3d_data	36.9373629388296	3.26997343484394	2092	18	8	27	27	17.7	96	10196	1530	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	3.76942537417169e-37	4279
2	22	McCole_3d_data	26.2670340334992	1.82261998167652	9110	19	21	9	21	16.3	994	3178	632	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1.59638765711704e-26	3269
2	18	McCole_3d_data	24.5103577011523	1.90450576772468	10190	20	20	6	20	15.3	1168	2098	458	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	8.70184428444892e-25	3810
2	14	McCole_3d_data	10.8006361860454	1.42860922247716	7783	21	23	13	23	19	890	4505	736	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	4.08831416624616e-11	3385
2	6	McCole_3d_data	10.7156166183366	1.73553446694632	11262	22	22	2	22	15.3	1404	1026	222	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	4.77347950757209e-11	1194
2	24	McCole_3d_data	10.6246543165447	1.42406958426473	7781	23	24	14	24	20.3	891	4507	735	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	5.65931705043441e-11	4835
2	20	McCole_3d_data	6.94909215182267	1.3718900009444	9621	24	25	7	25	18.7	1178	2667	448	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	0.000000258187833630461	3167
2	16	McCole_3d_data	4.71422452885152	1.24843706714182	7603	25	26	15	26	22	919	4685	707	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.0000427571874045695	3481
2	8	McCole_3d_data	4.28901644068961	3.69830810503807	12253	26	6	1	26	11	1609	35	17	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	0.000109894827312823	293
2	30	subcompartment	1.95356775946081	1.2418051399124	1242	27	27	29	29	27.7	135	11046	1491	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	0.022256775040253	685
2	7	McCole_3d_data	0.00000228797801362078	0.641468910656272	11138	28	28	3	28	19.7	1525	1150	101	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	1	1301
2	28	subcompartment	0	0.439521259438837	1426	29	29	28	29	28.7	374	10862	1252	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	1	896
2	29	subcompartment	0	0.366323319533001	568	29	30	30	30	29.7	190	11720	1436	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1	504
2	31	subcompartment	0	0.027964978187406	53	29	31	31	31	30.3	218	12235	1408	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	1	25
